Folder,FD (convnextv2-l-resize),FD (dinov2-l-fb-resize),FD (clip-L-14-resize)
ddim-v1-5-pruned-emaonly-exp-1026-sd15-lokrf8-lr1e-3-a-000030,111.43400696735148,450.81068170261005,118.28297421198975
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-a-000030,100.4667856184351,405.20794770445946,109.77910333223564
ddim-v1-5-pruned-emaonly-exp-1017-sd15-loha4a2-lr5e-3-a-000010,105.24472241246588,428.093724726456,106.3032289757004
ddim-v1-5-pruned-emaonly-exp-1014-sd15-loha4a2-full-b-000030,106.59285443400016,431.2431557764394,117.15098207020505
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-a,90.36925865483568,380.1159262013034,100.76755333715188
ddim-v1-5-pruned-emaonly-exp-1015-sd15-loha4a2-attnonly-a-000030,90.86510808903006,379.8363284198854,101.92824706520288
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-c-000030,91.14814473584649,388.1070814392892,104.28117377802016
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-b,109.730084948504,450.64075037236216,119.17026193526686
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-c,97.17734519934334,396.4628771104399,113.6870867904724
ddim-v1-5-pruned-emaonly-exp-1024-sd15-lokr8-full-b-000030,106.07702538123056,408.6870749871846,113.20863193386128
ddim-v1-5-pruned-emaonly-exp-1021-sd15-lokrf8-b,120.51331612092532,491.053490109271,131.71229002769255
ddim-v1-5-pruned-emaonly-exp-1004-sd15-lora8a4-full-b,109.12520442425546,440.0547290952841,119.55899573983385
ddim-v1-5-pruned-emaonly-exp-1004-sd15-lora8a4-full-a-000030,103.18069319183496,398.62398489203633,111.1550392734452
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b,99.81118390552888,418.00277491824727,111.0203707738226
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-c-000010,94.00044251269584,383.6744537539885,101.06282943714734
ddim-v1-5-pruned-emaonly-exp-1013-sd15-loha16a1-b-000030,104.51187613802269,449.9705101928721,118.00112127956912
ddim-v1-5-pruned-emaonly-exp-1006-sd15-lora8a4-lr1e-4-c,103.14621716857825,428.1286383231495,111.37657130975128
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b-000030,101.9953884749924,409.770047971132,109.73680239326792
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-c-000010,90.15204221467184,367.8326377036256,102.47409554821496
ddim-v1-5-pruned-emaonly-exp-1011-sd15-loha4a2-b,108.77033293607052,454.8085394667824,117.05010633336012
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-c-000030,174.8091787454614,766.5995005779105,160.8153599063068
ddim-v1-5-pruned-emaonly-exp-1006-sd15-lora8a4-lr1e-4-b-000010,99.15022299832776,427.4250281076843,106.74891722399092
ddim-v1-5-pruned-emaonly-exp-1017-sd15-loha4a2-lr5e-3-a-000030,95.23932587946638,410.4424888546014,108.1337855689755
ddim-v1-5-pruned-emaonly-exp-1017-sd15-loha4a2-lr5e-3-b-000030,92.34774430869152,384.9747378219108,104.6753079106516
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-b,124.7710068010407,518.8615086871137,137.36947708804968
ddim-v1-5-pruned-emaonly-exp-1026-sd15-lokrf8-lr1e-3-b,123.8708509877872,481.462871745428,128.184675745959
ddim-v1-5-pruned-emaonly-exp-1005-sd15-lora8a4-attnonly-a-000010,92.87745820383792,409.3593599806163,105.94781875228358
ddim-v1-5-pruned-emaonly-exp-1013-sd15-loha16a1-b-000010,84.51581080129881,340.0432353308902,95.64112759332124
ddim-v1-5-pruned-emaonly-exp-1005-sd15-lora8a4-attnonly-c-000010,101.87341460028028,424.32429854905695,107.66897999164377
ddim-v1-5-pruned-emaonly-exp-1023-sd15-lokrconf12-b-000030,107.06080395534856,445.95656605101385,119.52831555995306
