Folder,Style Loss (in),Style Loss (out),Style Loss (trigger)
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-c/style/felix_vallotton_stroke,1806.0302734375,2255.060546875,1496.2728271484375
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-c/style/ghibi_alter,1238.9754638671875,638.4923095703125,514.18310546875
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-c/style/ukiyo_e,1795.24267578125,1274.76513671875,1550.53759765625
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-c/style/impressionism,558.087646484375,669.303466796875,611.1004638671875
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-c/style/vladimir_borovikovsky,1040.1253662109375,599.73291015625,1607.0850830078125
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-c/style/pencil_drawing,334.90264892578125,344.10272216796875,409.1278076171875
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-c/style/ghibi,1466.802978515625,1066.60986328125,1793.836669921875
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a-000010/style/felix_vallotton_stroke,2297.8798828125,2612.43896484375,2620.21728515625
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a-000010/style/ghibi_alter,938.6360473632812,540.1581420898438,369.2789916992188
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a-000010/style/ukiyo_e,860.2622680664062,781.91162109375,729.3863525390625
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a-000010/style/impressionism,414.99407958984375,483.0787963867188,452.6435546875
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a-000010/style/vladimir_borovikovsky,1042.5853271484375,614.0660400390625,1322.33837890625
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a-000010/style/pencil_drawing,245.92974853515625,332.0268859863281,376.7449645996094
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a-000010/style/ghibi,908.1731567382812,1003.4275512695312,869.7976684570312
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-c/style/felix_vallotton_stroke,1305.55859375,2061.475341796875,1004.6575927734376
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-c/style/ghibi_alter,946.706787109375,334.6170349121094,246.86669921875
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-c/style/ukiyo_e,2948.35546875,1535.638671875,2183.38916015625
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-c/style/impressionism,1238.345458984375,865.4142456054688,1291.5506591796875
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-c/style/vladimir_borovikovsky,1979.127197265625,801.7169189453125,1927.44775390625
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-c/style/pencil_drawing,1363.483642578125,550.11279296875,1372.9354248046875
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-c/style/ghibi,3509.50927734375,1329.522705078125,4999.1162109375
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-b-000010/style/felix_vallotton_stroke,2276.186767578125,2606.7255859375,2181.280029296875
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-b-000010/style/ghibi_alter,2005.202880859375,857.877685546875,917.0933227539062
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-b-000010/style/ukiyo_e,949.66162109375,767.7356567382812,702.460205078125
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-b-000010/style/impressionism,409.2227783203125,605.5875854492188,501.1951904296875
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-b-000010/style/vladimir_borovikovsky,1240.4515380859375,618.787109375,2030.6629638671875
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-b-000010/style/pencil_drawing,220.0035095214844,490.6090698242188,654.431640625
