Folder,Style Loss (in),Style Loss (out),Style Loss (trigger)
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b/style/impressionism,492.4397888183594,607.9775390625,526.1475830078125
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b/style/vladimir_borovikovsky,846.1202392578125,814.8619384765625,763.1029663085938
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b/style/pencil_drawing,605.80908203125,458.2257995605469,353.7633056640625
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b/style/ghibi,1491.492919921875,1521.949462890625,1542.002197265625
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b-000030/style/felix_vallotton_stroke,1292.0496826171875,1792.76904296875,940.774658203125
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b-000030/style/ghibi_alter,847.0020141601562,361.28924560546875,301.8489074707031
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b-000030/style/ukiyo_e,1410.577392578125,1142.662353515625,1546.459716796875
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b-000030/style/impressionism,804.6387939453125,606.21484375,735.8606567382812
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b-000030/style/vladimir_borovikovsky,859.8555297851562,656.8082275390625,599.2283325195312
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b-000030/style/pencil_drawing,548.6843872070312,328.875732421875,300.1114501953125
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b-000030/style/ghibi,1995.436767578125,1133.546142578125,1043.063232421875
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b-000010/style/felix_vallotton_stroke,1416.940673828125,1979.8153076171875,2765.5625
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b-000010/style/ghibi_alter,805.5430908203125,538.5877075195312,289.743408203125
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b-000010/style/ukiyo_e,1484.676513671875,1165.5277099609375,1169.502197265625
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b-000010/style/impressionism,378.4228515625,388.80316162109375,351.56512451171875
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b-000010/style/vladimir_borovikovsky,406.43798828125,392.4403991699219,274.9375
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b-000010/style/pencil_drawing,197.600341796875,255.5869140625,229.33651733398438
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b-000010/style/ghibi,1057.19873046875,1548.0787353515625,2471.9990234375
ddim-v1-5-pruned-emaonly-exp-1021-sd15-lokrf8-b-000030/style/felix_vallotton_stroke,1128.067138671875,1994.28515625,1217.965087890625
ddim-v1-5-pruned-emaonly-exp-1021-sd15-lokrf8-b-000030/style/ghibi_alter,1015.4437866210938,515.154296875,319.65924072265625
ddim-v1-5-pruned-emaonly-exp-1021-sd15-lokrf8-b-000030/style/ukiyo_e,2006.95361328125,1070.8101806640625,1421.817626953125
ddim-v1-5-pruned-emaonly-exp-1021-sd15-lokrf8-b-000030/style/impressionism,1058.79833984375,1248.4814453125,1185.506103515625
ddim-v1-5-pruned-emaonly-exp-1021-sd15-lokrf8-b-000030/style/vladimir_borovikovsky,1690.2242431640625,1181.9403076171875,2266.08154296875
ddim-v1-5-pruned-emaonly-exp-1021-sd15-lokrf8-b-000030/style/pencil_drawing,894.3517456054688,1007.421142578125,1374.0506591796875
ddim-v1-5-pruned-emaonly-exp-1021-sd15-lokrf8-b-000030/style/ghibi,1700.2496337890625,1271.72021484375,855.7781982421875
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b-000010/style/felix_vallotton_stroke,1094.242919921875,1561.021484375,903.769287109375
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b-000010/style/ghibi_alter,428.086669921875,285.0999755859375,244.72055053710938
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b-000010/style/ukiyo_e,1412.237548828125,927.4927978515625,1089.063232421875
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b-000010/style/impressionism,613.8851318359375,605.4625244140625,857.682373046875
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b-000010/style/vladimir_borovikovsky,857.8141479492188,657.9000854492188,856.3564453125
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b-000010/style/pencil_drawing,1017.3876953125,784.4442138671875,1769.62548828125
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b-000010/style/ghibi,1424.924560546875,1025.4490966796875,1565.70068359375
ddim-v1-5-pruned-emaonly-exp-1006-sd15-lora8a4-lr1e-4-b-000030/style/felix_vallotton_stroke,1490.3929443359375,2698.9658203125,1432.260986328125
ddim-v1-5-pruned-emaonly-exp-1006-sd15-lora8a4-lr1e-4-b-000030/style/ghibi_alter,2082.371337890625,770.575439453125,2696.26318359375
ddim-v1-5-pruned-emaonly-exp-1006-sd15-lora8a4-lr1e-4-b-000030/style/ukiyo_e,2562.834716796875,1497.5372314453125,2114.573486328125
ddim-v1-5-pruned-emaonly-exp-1006-sd15-lora8a4-lr1e-4-b-000030/style/impressionism,795.498291015625,792.2603149414062,719.174560546875
ddim-v1-5-pruned-emaonly-exp-1006-sd15-lora8a4-lr1e-4-b-000030/style/vladimir_borovikovsky,1471.3509521484375,946.9530029296875,1757.0634765625
ddim-v1-5-pruned-emaonly-exp-1006-sd15-lora8a4-lr1e-4-b-000030/style/pencil_drawing,845.853271484375,753.0819091796875,692.9303588867188
ddim-v1-5-pruned-emaonly-exp-1006-sd15-lora8a4-lr1e-4-b-000030/style/ghibi,1815.203369140625,1765.3134765625,2736.430419921875
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b/style/felix_vallotton_stroke,1678.08642578125,1962.72998046875,1445.9090576171875
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b/style/ghibi_alter,1106.1005859375,707.59521484375,459.8497314453125
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b/style/ukiyo_e,1841.160888671875,1245.5521240234375,1641.136474609375
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b/style/impressionism,770.3941650390625,878.6759033203125,679.1963500976562
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b/style/vladimir_borovikovsky,1288.125244140625,757.074462890625,1329.9169921875
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b/style/pencil_drawing,550.4610595703125,505.17572021484375,591.69970703125
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b/style/ghibi,1697.447021484375,1609.90869140625,2156.575927734375
ddim-v1-5-pruned-emaonly-exp-1013-sd15-loha16a1-b/style/felix_vallotton_stroke,1819.7900390625,2352.7578125,1747.6678466796875
ddim-v1-5-pruned-emaonly-exp-1013-sd15-loha16a1-b/style/ghibi_alter,1545.704345703125,895.99462890625,556.090576171875
ddim-v1-5-pruned-emaonly-exp-1013-sd15-loha16a1-b/style/ukiyo_e,2099.4228515625,1193.0052490234375,1340.519287109375
ddim-v1-5-pruned-emaonly-exp-1013-sd15-loha16a1-b/style/impressionism,627.6890869140625,833.6156005859375,1022.8955078125
ddim-v1-5-pruned-emaonly-exp-1013-sd15-loha16a1-b/style/vladimir_borovikovsky,1600.4891357421875,814.9252319335938,2833.880615234375
ddim-v1-5-pruned-emaonly-exp-1013-sd15-loha16a1-b/style/pencil_drawing,683.787109375,499.7132873535156,1334.30322265625
ddim-v1-5-pruned-emaonly-exp-1013-sd15-loha16a1-b/style/ghibi,1432.7666015625,1287.545654296875,1283.5439453125
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b-000030/style/felix_vallotton_stroke,1831.222412109375,2359.26904296875,1951.0311279296875
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b-000030/style/ghibi_alter,1063.0240478515625,649.527587890625,890.7572021484375
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b-000030/style/ukiyo_e,2576.324462890625,1713.2174072265625,1207.70703125
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b-000030/style/impressionism,801.0887451171875,1240.427978515625,599.42919921875
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b-000030/style/vladimir_borovikovsky,811.3497314453125,846.7894287109375,1023.695556640625
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b-000030/style/pencil_drawing,497.12994384765625,868.9197998046875,1792.76416015625
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b-000030/style/ghibi,1761.15283203125,1345.7862548828125,2466.6064453125
ddim-v1-5-pruned-emaonly-exp-1023-sd15-lokrconf12-b-000010/style/felix_vallotton_stroke,1366.133056640625,1769.7314453125,1301.3782958984375
ddim-v1-5-pruned-emaonly-exp-1023-sd15-lokrconf12-b-000010/style/ghibi_alter,875.314208984375,480.360595703125,235.96383666992188
