Folder,FD (convnextv2-l),FD (clip-L-14),FD (convnextv2-l-padding),FD (clip-L-14-padding),FD (dinov2-l-fb-padding),FD (dinov2-l-fb),FD (dinov2-l-padding),FD (dinov2-l)
exp-1102-sd15-nt-Prodigy-c-000010,86.1872550433568,89.97708237339555,98.49379794462698,94.863732353513,343.8971662754366,343.431900730915,,
exp-1101-sd15-nt-c-000010,90.46533462257288,90.34850041249126,103.92774338544972,97.8757526130857,393.0577661191524,376.42927877010015,,
exp-1101-sd15-nt-c-000030,84.25621724967232,88.20643513746575,94.24432549634412,93.21979504850115,352.5651320347433,350.7116762118362,,
exp-1102-sd15-nt-Prodigy-c-000030,70.45439805458159,80.19455759242123,83.23638286876121,85.83362698995097,274.6781149859112,271.1747895271633,,
v15-exp-1022-sd15-lokrf8dinf-c-000010,103.76910483268148,93.496450244799,117.0800668754116,101.47087030099834,453.6533287637426,441.06366935763936,450.2863543118879,451.68693117093153
v15-exp-1026-sd15-lokrattnonlyf8d8a4-b-000010,143.2857056928408,131.0420906714941,156.7476383213093,138.7136281022099,719.4808609312895,702.5500489818705,720.3368269496273,711.4527236109275
v15-exp-1022-sd15-lokrf8dinf-c,95.85552143241284,95.55908000168182,108.97165644177062,104.09056524583303,451.69893859514514,437.380469369024,460.5146806290145,460.0991705491956
v15-exp-1006-sd15-lora8a4-scalar-c-000010,92.98660637851548,91.45454750695863,104.99352575961028,98.45852715438332,414.48883868047824,403.5546212253457,414.48287622111184,414.872173685083
v15-exp-1023-sd15-lokrfm1d8-b,114.23679919828248,107.97695424746792,129.0057063587443,116.21235190988916,582.4109153825516,561.4574698630063,574.6750787162123,570.5445811693126
v15-exp-1025-sd15-lokrconf8d8a4-a-000010,111.0253198384022,107.99212017042964,123.24961413988184,116.38696647829084,543.4784939225597,530.6762143559386,533.7577421242081,533.6425143273668
v15-exp-1012-sd15-loha16a8-a-000010,85.61845481923501,90.46742841284367,100.63800842947056,96.36013686303176,397.0789908268189,380.5962240506647,400.5032107098609,400.8232253179831
v15-exp-1003-sd15-lora32a1-a-000030,82.320996152313,86.09937521471443,93.02845841326712,92.03281453565933,346.44010399503395,340.32994892495753,385.3070512276304,385.3795940717091
v15-exp-1004-sd15-locon8a4-a-000010,93.63138244237008,90.01274120244352,106.4539857380048,96.23816111864907,377.34722725655,369.8117551701357,394.4139371259571,399.14177705578686
v15-exp-1017-sd15-loha4a2-Prodigy-c-000030,227.97754800473209,197.47839041299352,235.09619805121883,203.03191766015595,1109.8885221899518,1101.2391954766897,1133.5464230492466,1126.2375647082677
v15-exp-1024-sd15-lokrf12d8-c,106.71837309776618,102.21971636574824,124.20350780349328,110.536115830514,528.3958510318857,509.33672548230015,523.5229044808116,519.9223177503472
