Folder,Artifact-padding,Liqe-resize,Maniqa-resize
exp-1101-sd15-nt-c/anime/ikamusume/wafc outfit/out_dist_prompts_tags,3.2578125,2.961827,0.4515067040920257
exp-1101-sd15-nt-c/people/K-2SO/in_dist_prompts,2.060546875,3.0422473,0.5828171372413635
exp-1101-sd15-nt-c/people/K-2SO/out_dist_prompts,2.48828125,3.0166702,0.5397565960884094
exp-1101-sd15-nt-c/people/Bodhi_Rook/illustration/in_dist_prompts,2.37890625,3.0169837,0.6123901605606079
exp-1101-sd15-nt-c/people/Bodhi_Rook/illustration/out_dist_prompts,2.79296875,2.8039234,0.566567599773407
exp-1101-sd15-nt-c/people/Bodhi_Rook/realistic/in_dist_prompts,2.87890625,2.8694763,0.4275144636631012
exp-1101-sd15-nt-c/people/Bodhi_Rook/realistic/out_dist_prompts,2.9765625,2.8276658,0.4247669577598572
exp-1101-sd15-nt-c/people/Bodhi_Rook/figurine/in_dist_prompts,3.052734375,2.7432034,0.5630027651786804
exp-1101-sd15-nt-c/people/Bodhi_Rook/figurine/out_dist_prompts,2.923828125,2.7660346,0.5573221445083618
exp-1101-sd15-nt-c/people/Rose_Tico/illustration/in_dist_prompts,2.595703125,3.096503,0.5777477622032166
exp-1101-sd15-nt-c/people/Rose_Tico/illustration/out_dist_prompts,2.853515625,2.9356787,0.5945161581039429
exp-1101-sd15-nt-c/people/Rose_Tico/realistic/in_dist_prompts,2.634765625,3.1413908,0.4953071475028991
exp-1101-sd15-nt-c/people/Rose_Tico/realistic/out_dist_prompts,2.9609375,2.9725244,0.4783504903316498
"exp-1101-sd15-nt-c/people/Saw_Gerrera/bald, realistic/in_dist_prompts",2.16015625,2.742934,0.3817218542098999
"exp-1101-sd15-nt-c/people/Saw_Gerrera/bald, realistic/out_dist_prompts",2.681640625,2.771917,0.406667947769165
"exp-1101-sd15-nt-c/people/Saw_Gerrera/afro, realistic/in_dist_prompts",2.04296875,3.0362833,0.4853719770908355
"exp-1101-sd15-nt-c/people/Saw_Gerrera/afro, realistic/out_dist_prompts",2.380859375,3.0246778,0.501432478427887
"exp-1101-sd15-nt-c/people/Saw_Gerrera/bald, 3d/in_dist_prompts",2.4140625,2.8443527,0.5349514484405518
"exp-1101-sd15-nt-c/people/Saw_Gerrera/bald, 3d/out_dist_prompts",2.97265625,2.7493634,0.4768008887767792
"exp-1101-sd15-nt-c/people/Saw_Gerrera/afro, illustration/in_dist_prompts",2.46484375,3.0965257,0.5878776907920837
"exp-1101-sd15-nt-c/people/Saw_Gerrera/afro, illustration/out_dist_prompts",2.220703125,2.9199786,0.6027740240097046
exp-1101-sd15-nt-c/people/Admiral_Piett/reaslitic/in_dist_prompts,2.810546875,2.8508804,0.3755296468734741
exp-1101-sd15-nt-c/people/Admiral_Piett/reaslitic/out_dist_prompts,2.91015625,2.7604961,0.3365203440189361
exp-1101-sd15-nt-c/people/Admiral_Piett/figurine/in_dist_prompts,2.658203125,2.9274855,0.4703560769557953
exp-1101-sd15-nt-c/people/Admiral_Piett/figurine/out_dist_prompts,2.953125,2.7336895,0.4364140331745147
exp-1102-sd15-nt-Prodigy-a-000010/scene/scene_canal/in_dist_prompts,2.53125,2.6658332,0.3424623012542724
exp-1102-sd15-nt-Prodigy-a-000010/scene/scene_canal/out_dist_prompts,2.5078125,2.744472,0.4256248474121094
exp-1102-sd15-nt-Prodigy-a-000010/scene/scene_garden/in_dist_prompts,2.3125,2.6734164,0.5026100277900696
exp-1102-sd15-nt-Prodigy-a-000010/scene/scene_garden/out_dist_prompts,2.3359375,2.6987352,0.5713951587677002
